-1	BioInfer_d328@1#10	0.5348938019340762,0.12069587264946505,0.4682356529541317,0.44687517295710194,0.12069587264946505,0.4682356529541317
-1	BioInfer_d328@1#12	0.10910004845808068,0.122178212322766,0.23411782647706586,0.9225910332134083,1.42886119023365,0.23411782647706586
-1	BioInfer_d328@1#11	0.4418491114728542,1.42886119023365,1.964027580075817,0.9225910332134083,1.3404202060589918,1.964027580075817
-1	BioInfer_d274@1#1	0.4492331962672203,0.7973426748693762,1.964027580075817,0.48986370175750094,0.7973426748693762,1.964027580075817
-1	BioInfer_d177@1#3	0.12965240924004046,1.356873616149526,0.4682356529541317,0.47716150781309746,0.34064885807970374,0.4682356529541317
-1	BioInfer_d177@1#2	0.1218061437849246,1.356873616149526,1.0990727032764414,0.47716150781309746,1.42886119023365,1.0990727032764414
-1	BioInfer_d177@1#1	0.14848335243981672,0.6714639669156952,1.964027580075817,0.8315617628010349,0.6714639669156952,1.964027580075817
-1	BioInfer_d533@1#9	0.10913755368994493,0.17742556318790564,0.378303069517981,0.1449122066747898,0.2739336364011021,0.378303069517981
-1	BioInfer_d533@1#8	0.10913755368994493,0.17742556318790564,0.378303069517981,0.1449122066747898,0.2739336364011021,0.378303069517981
-1	BioInfer_d274@1#2	0.45572696252773226,0.7973426748693762,1.964027580075817,0.48986370175750094,0.7973426748693762,1.964027580075817
-1	BioInfer_d533@1#5	0.13361919532914993,0.7848960244112505,0.9477280281486699,0.1325767356848909,0.1436898037375002,0.9477280281486699
-1	BioInfer_d533@1#4	0.13361919532914993,0.7848960244112505,0.9477280281486699,0.1325767356848909,0.1436898037375002,0.9477280281486699
-1	BioInfer_d533@1#7	0.10913755368994493,0.17742556318790564,0.378303069517981,0.1449122066747898,0.2739336364011021,0.378303069517981
-1	BioInfer_d533@1#6	0.13361919532914993,0.5034045369814166,1.964027580075817,0.1449122066747898,0.1216202134086518,1.964027580075817
-1	BioInfer_d533@1#1	0.13361919532914993,0.5907823610886104,1.964027580075817,0.11593208620481109,0.1298288474220783,1.964027580075817
-1	BioInfer_d533@1#3	0.13361919532914993,0.7848960244112505,0.9477280281486699,0.1325767356848909,0.1436898037375002,0.9477280281486699
-1	BioInfer_d533@1#2	0.13361919532914993,0.7848960244112505,0.9477280281486699,0.1325767356848909,0.1436898037375002,0.9477280281486699
-1	BioInfer_d630@1#1	0.45063600754749816,1.356873616149526,1.964027580075817,0.45398285894262963,1.42886119023365,1.964027580075817
-1	BioInfer_d765@1#3	0.19019034979173866,0.6110016397588921,0.16554630269858872,0.5561969444349137,0.6639338321906514,0.16554630269858872
-1	BioInfer_d765@1#4	0.19019034979173866,0.7990906047612587,0.16554630269858872,0.11214001663640312,0.6684090484677683,0.16554630269858872
-1	BioInfer_d765@1#5	0.19019034979173866,0.6245832421518311,1.964027580075817,0.6022043589149444,1.42886119023365,1.964027580075817
-1	BioInfer_d765@1#6	0.44090099405046834,1.1042183505017031,3.459819507197502,0.11700345963127726,1.42886119023365,3.459819507197502
-1	BioInfer_d765@1#1	0.19019034979173866,0.12069587264946505,0.4682356529541317,0.44393713776579335,0.5801306871697115,0.4682356529541317
-1	BioInfer_d765@1#2	0.19019034979173866,0.14494813380195914,0.16554630269858872,0.10503602896999495,0.5147852719766127,0.16554630269858872
-1	BioInfer_d765@1#7	0.11490029402299454,0.1714376295927654,0.13139418752659285,0.10503602896999495,0.11398663652678692,0.13139418752659285
-1	BioInfer_d765@1#8	0.11490029402299454,0.5400234131614603,0.13139418752659285,0.5561969444349137,0.122178212322766,0.13139418752659285
-1	BioInfer_d765@1#9	0.11490029402299454,0.5387299730907841,0.13139418752659285,0.11214001663640312,0.12673536157031465,0.13139418752659285
-1	BioInfer_d130@1#1	0.5140146569266262,1.42886119023365,1.964027580075817,0.11649767712667893,1.42886119023365,1.964027580075817
-1	BioInfer_d436@1#1	0.11000232577201184,0.16345155105596557,0.11966330558832525,0.10648408293084655,0.11542686370295849,0.11966330558832525
-1	BioInfer_d436@1#3	0.10638498467897965,0.11671151702486346,1.964027580075817,0.12223284858781432,0.896940966900131,1.964027580075817
-1	BioInfer_d107@1#6	0.5604134940134686,0.8249533928160069,1.964027580075817,0.6903942228258659,0.34064885807970374,1.964027580075817
-1	BioInfer_d436@1#2	0.10638498467897965,0.5809551525333052,0.4682356529541317,0.6017982254564677,1.42886119023365,0.4682356529541317
-1	BioInfer_d107@1#5	0.10509062448216117,0.6797612192927175,1.964027580075817,0.1330499396171084,0.7753657967224628,1.964027580075817
-1	BioInfer_d436@1#5	0.10648408293084655,0.8643105528432129,0.804775227676251,0.12223284858781432,1.2100827353652217,0.804775227676251
-1	BioInfer_d226@2#7	0.4418491114728542,0.896940966900131,1.8126829049480455,0.10507016592095984,0.896940966900131,1.8126829049480455
-1	BioInfer_d436@1#4	0.10648408293084655,0.5445146871613145,1.964027580075817,0.6017982254564677,0.5312127346854165,1.964027580075817
-1	BioInfer_d107@1#7	0.5604134940134686,0.6797612192927175,1.964027580075817,0.1330499396171084,0.7753657967224628,1.964027580075817
-1	BioInfer_d226@2#6	0.16804791203338043,0.12030878135292525,0.4682356529541317,0.10507016592095984,0.48512261294610165,0.4682356529541317
-1	BioInfer_d436@1#7	0.44543402066026805,1.356873616149526,1.964027580075817,0.6017982254564677,1.42886119023365,1.964027580075817
-1	BioInfer_d107@1#2	0.4426655278869733,0.542947199790764,1.964027580075817,0.1330499396171084,0.7753657967224628,1.964027580075817
-1	BioInfer_d226@2#5	0.16804791203338043,0.5801306871697115,0.16554630269858872,0.1056771080130716,0.11659571243076766,0.16554630269858872
-1	BioInfer_d436@1#6	0.11074367213179724,0.34064885807970374,1.8228194746073016,0.12223284858781432,1.42886119023365,1.8228194746073016
-1	BioInfer_d107@1#1	0.4426655278869733,0.5058038741251505,1.964027580075817,0.6903942228258659,1.356873616149526,1.964027580075817
-1	BioInfer_d226@2#4	0.44304325710773257,0.19667370991145555,1.846968666837284,0.11505922522190336,0.2588371586454237,1.846968666837284
-1	BioInfer_d436@1#9	0.44543402066026805,0.59731924563098,1.8228194746073016,0.12223284858781432,1.42886119023365,1.8228194746073016
-1	BioInfer_d107@1#4	0.10509062448216117,0.8249533928160069,0.4682356529541317,0.6903942228258659,0.34064885807970374,0.4682356529541317
-1	BioInfer_d226@2#3	0.44304325710773257,0.7753657967224628,3.459819507197502,0.10910004845808068,1.42886119023365,3.459819507197502
-1	BioInfer_d436@1#8	0.44543402066026805,0.5840287073788129,1.964027580075817,0.10564344594276762,1.42886119023365,1.964027580075817
-1	BioInfer_d107@1#3	0.10504510264395558,0.5665642031363851,1.7914099686982108,0.6016399004930377,0.19667370991145555,1.7914099686982108
-1	BioInfer_d226@2#2	0.11964059463578261,1.3203181009635299,1.8126829049480455,0.48071926739694426,1.4532330757205583,1.8126829049480455
-1	BioInfer_d226@2#1	0.11964059463578261,0.7930391370933635,0.4682356529541317,0.10561744872626853,0.7930391370933635,0.4682356529541317
-1	BioInfer_d22@1#2	0.10560180705625165,1.3179153707902458,0.6795414463726265,0.4444977079029727,1.3179153707902458,0.6795414463726265
